rule_id,trigger_pattern,candidate_set,select_target_if,reject_target_if,priority,example_pass,example_fail,active
R001,10th practice address location,groupPracticeLocationAddressLine1|acceptingMaximumPatientAge,practitioner roster context; address/phone maps to group practice location,billing/contractee context only,90,10TH PRACTICE ADDRESS LOCATION -> groupPracticeLocationAddressLine1,10TH PRACTICE ADDRESS LOCATION -> acceptingMaximumPatientAge,true
R002,dc exp date,stateLicenseExpirationDate|cliaCertificateExpirationDate,header context aligns with stateLicenseExpirationDate semantics,header context aligns with cliaCertificateExpirationDate semantics,89,DC EXP DATE -> stateLicenseExpirationDate,DC EXP DATE -> cliaCertificateExpirationDate,true
R003,zip code.1,groupPracticeLocationZip|groupBillingLocationZipcode,billing keyword present in header,no billing keyword; defaults to practice location,88,ZIP CODE.1 -> groupPracticeLocationZip,ZIP CODE.1 -> groupBillingLocationZipcode,true
R004,phone,groupPracticeLocationPhone|credentialingContactPhone,header context aligns with groupPracticeLocationPhone semantics,header context aligns with credentialingContactPhone semantics,87,PHONE # -> groupPracticeLocationPhone,PHONE # -> credentialingContactPhone,true
R005,dc license,stateLicenseNumber|providerLicenseState,header context aligns with stateLicenseNumber semantics,header context aligns with providerLicenseState semantics,86,DC LICENSE -> stateLicenseNumber,DC LICENSE -> providerLicenseState,true
R006,fed dea dc,practitionerDea|groupDea,header context aligns with practitionerDea semantics,header context aligns with groupDea semantics,85,FED DEA DC -> practitionerDea,FED DEA DC -> groupDea,true
R007,fed dea dc exp,practitionerDeaExpirationDate|groupDea,header context aligns with practitionerDeaExpirationDate semantics,header context aligns with groupDea semantics,84,FED DEA DC EXP -> practitionerDeaExpirationDate,FED DEA DC EXP -> groupDea,true
R008,group name,groupName|groupPracticeName,header context aligns with groupName semantics,header context aligns with groupPracticeName semantics,83,Group Name -> groupName,Group Name -> groupPracticeName,true
R009,dc cds exp date,practitionerControlledSubstanceExpirationDate|cliaCertificateExpirationDate,header context aligns with practitionerControlledSubstanceExpirationDate semantics,header context aligns with cliaCertificateExpirationDate semantics,82,DC CDS EXP DATE -> practitionerControlledSubstanceExpirationDate,DC CDS EXP DATE -> cliaCertificateExpirationDate,true
R010,dc cds,practitionerControlledSubstanceNumber|practitionerControlledSubstanceNumberExempt,exempt/exception keyword present,no exempt keyword in header,81,DC CDS -> practitionerControlledSubstanceNumber,DC CDS -> practitionerControlledSubstanceNumberExempt,true
R011,appt date,initialCredentialingDate|cliaCertificateExpirationDate,header context aligns with initialCredentialingDate semantics,header context aligns with cliaCertificateExpirationDate semantics,80,Appt Date -> initialCredentialingDate,Appt Date -> cliaCertificateExpirationDate,true
R012,hospital affiliation,practitionerPrimaryHospitalAffiliation|credentialingAffiliation,header context aligns with practitionerPrimaryHospitalAffiliation semantics,header context aligns with credentialingAffiliation semantics,79,HOSPITAL AFFILIATION -> practitionerPrimaryHospitalAffiliation,HOSPITAL AFFILIATION -> credentialingAffiliation,true
R013,individual npi,practitionerNpi|facilityNpi,header context aligns with practitionerNpi semantics,header context aligns with facilityNpi semantics,78,INDIVIDUAL NPI -> practitionerNpi,INDIVIDUAL NPI -> facilityNpi,true
R014,degree,providerType|educationDegree,header context aligns with providerType semantics,header context aligns with educationDegree semantics,77,DEGREE -> providerType,DEGREE -> educationDegree,true
R015,graduation date,educationToDate|cliaCertificateExpirationDate,header context aligns with educationToDate semantics,header context aligns with cliaCertificateExpirationDate semantics,76,GRADUATION DATE -> educationToDate,GRADUATION DATE -> cliaCertificateExpirationDate,true
R016,internship institution,internshipSchoolName|educationSchoolName,header context aligns with internshipSchoolName semantics,header context aligns with educationSchoolName semantics,75,INTERNSHIP INSTITUTION -> internshipSchoolName,INTERNSHIP INSTITUTION -> educationSchoolName,true
R017,taxonomy,practitionerPrimaryTaxonomy|groupSpecialtyTaxonomy,header context aligns with practitionerPrimaryTaxonomy semantics,header context aligns with groupSpecialtyTaxonomy semantics,74,TAXONOMY -> practitionerPrimaryTaxonomy,TAXONOMY -> groupSpecialtyTaxonomy,true
R018,board certification.1,practitionerPrimaryHospitalAffiliation|practitionerPrimarySpecialtyBoardCertificationExpirationDate,header context aligns with practitionerPrimaryHospitalAffiliation semantics,header context aligns with practitionerPrimarySpecialtyBoardCertificationExpirationDate semantics,73,BOARD CERTIFICATION.1 -> practitionerPrimaryHospitalAffiliation,BOARD CERTIFICATION.1 -> practitionerPrimarySpecialtyBoardCertificationExpirationDate,true
R019,address,groupPracticeLocationAddressLine1|billingGroupName,practitioner roster context; address/phone maps to group practice location,billing/contractee context only,72,ADDRESS -> groupPracticeLocationAddressLine1,ADDRESS -> billingGroupName,true
R020,address city,groupPracticeLocationCity|billingGroupName,practitioner roster context; address/phone maps to group practice location,billing/contractee context only,71,ADDRESS CITY -> groupPracticeLocationCity,ADDRESS CITY -> billingGroupName,true
R021,address county,groupPracticeLocationCounty|billingGroupName,practitioner roster context; address/phone maps to group practice location,billing/contractee context only,70,ADDRESS COUNTY -> groupPracticeLocationCounty,ADDRESS COUNTY -> billingGroupName,true
R022,address state,groupPracticeLocationState|billingGroupName,practitioner roster context; address/phone maps to group practice location,billing/contractee context only,69,ADDRESS STATE -> groupPracticeLocationState,ADDRESS STATE -> billingGroupName,true
R023,address type,groupPractitionerLocationType|billingGroupName,practitioner roster context; address/phone maps to group practice location,billing/contractee context only,68,ADDRESS TYPE -> groupPractitionerLocationType,ADDRESS TYPE -> billingGroupName,true
R024,address zip,groupPracticeLocationZip|billingGroupName,practitioner roster context; address/phone maps to group practice location,billing/contractee context only,67,ADDRESS ZIP -> groupPracticeLocationZip,ADDRESS ZIP -> billingGroupName,true
R025,address2,groupPracticeLocationAddressLine2|groupBillingAddress2,practitioner roster context; address/phone maps to group practice location,billing/contractee context only,66,ADDRESS2 -> groupPracticeLocationAddressLine2,ADDRESS2 -> groupBillingAddress2,true
R026,billing npi number,groupNpi|billingGroupName,billing keyword present in header,no billing keyword; defaults to practice location,65,BILLING NPI NUMBER -> groupNpi,BILLING NPI NUMBER -> billingGroupName,true
R027,fax number,groupPracticeLocationFax|contracteeLocationFaxNumber,practitioner roster context; address/phone maps to group practice location,billing/contractee context only,64,FAX NUMBER -> groupPracticeLocationFax,FAX NUMBER -> contracteeLocationFaxNumber,true
R028,fellowship completion date,fellowshipToDate|fellowshipFromDate,completion/end/to semantics in header,start/from/begin semantics,63,FELLOWSHIP COMPLETION DATE -> fellowshipToDate,FELLOWSHIP COMPLETION DATE -> fellowshipFromDate,true
R029,fellowship institution,fellowshipSchoolName|educationSchoolName,header context aligns with fellowshipSchoolName semantics,header context aligns with educationSchoolName semantics,62,FELLOWSHIP INSTITUTION -> fellowshipSchoolName,FELLOWSHIP INSTITUTION -> educationSchoolName,true
R030,first name,firstName|credentialingContactFirstName,header context aligns with firstName semantics,header context aligns with credentialingContactFirstName semantics,61,FIRST NAME -> firstName,FIRST NAME -> credentialingContactFirstName,true
R031,internship completion date,internshipToDate|internshipFromDate,completion/end/to semantics in header,start/from/begin semantics,60,INTERNSHIP COMPLETION DATE -> internshipToDate,INTERNSHIP COMPLETION DATE -> internshipFromDate,true
R032,last name,lastName|credentialingContactLastName,header context aligns with lastName semantics,header context aligns with credentialingContactLastName semantics,59,LAST NAME -> lastName,LAST NAME -> credentialingContactLastName,true
R033,malpractice insurance carrier,practitionerMalpracticeCarrierName|practitionerMalpracticeAggregateCoverageAmount,header context aligns with practitionerMalpracticeCarrierName semantics,header context aligns with practitionerMalpracticeAggregateCoverageAmount semantics,58,Malpractice Insurance Carrier -> practitionerMalpracticeCarrierName,Malpractice Insurance Carrier -> practitionerMalpracticeAggregateCoverageAmount,true
R034,malpractice insurance expiration,practitionerMalpracticeExpiryDate|practitionerMalpracticeAggregateCoverageAmount,header context aligns with practitionerMalpracticeExpiryDate semantics,header context aligns with practitionerMalpracticeAggregateCoverageAmount semantics,57,Malpractice Insurance Expiration -> practitionerMalpracticeExpiryDate,Malpractice Insurance Expiration -> practitionerMalpracticeAggregateCoverageAmount,true
R035,medical graduate professional school,educationSchoolName|title,header context aligns with educationSchoolName semantics,header context aligns with title semantics,56,MEDICAL GRADUATE PROFESSIONAL SCHOOL -> educationSchoolName,MEDICAL GRADUATE PROFESSIONAL SCHOOL -> title,true
R036,pcp accepting patients yes or no,acceptsNewPatients|acceptingMaximumPatientAge,header context aligns with acceptsNewPatients semantics,header context aligns with acceptingMaximumPatientAge semantics,55,PCP ACCEPTING PATIENTS (YES or NO) -> acceptsNewPatients,PCP ACCEPTING PATIENTS (YES or NO) -> acceptingMaximumPatientAge,true
R037,pcp status,practitionerRole|contractStatus,header context aligns with practitionerRole semantics,header context aligns with contractStatus semantics,54,PCP STATUS -> practitionerRole,PCP STATUS -> contractStatus,true
R038,phone,groupPracticeLocationPhone|contracteeLocationFaxNumber,practitioner roster context; address/phone maps to group practice location,billing/contractee context only,53,PHONE -> groupPracticeLocationPhone,PHONE -> contracteeLocationFaxNumber,true
R039,primary board,practitionerPrimarySpecialtyBoardCertificationName|groupPracticeLocationPrimaryPracticeLimitation,header context aligns with practitionerPrimarySpecialtyBoardCertificationName semantics,header context aligns with groupPracticeLocationPrimaryPracticeLimitation semantics,52,PRIMARY BOARD -> practitionerPrimarySpecialtyBoardCertificationName,PRIMARY BOARD -> groupPracticeLocationPrimaryPracticeLimitation,true
R040,primary board date cert,practitionerPrimarySpecialtyBoardCertificationIssueDate|groupPracticeLocationPrimaryPracticeLimitation,header context aligns with practitionerPrimarySpecialtyBoardCertificationIssueDate semantics,header context aligns with groupPracticeLocationPrimaryPracticeLimitation semantics,51,PRIMARY BOARD DATE CERT -> practitionerPrimarySpecialtyBoardCertificationIssueDate,PRIMARY BOARD DATE CERT -> groupPracticeLocationPrimaryPracticeLimitation,true
R041,primary board exp date,practitionerPrimarySpecialtyBoardCertificationExpirationDate|groupPracticeLocationPrimaryPracticeLimitation,header context aligns with practitionerPrimarySpecialtyBoardCertificationExpirationDate semantics,header context aligns with groupPracticeLocationPrimaryPracticeLimitation semantics,50,PRIMARY BOARD EXP DATE -> practitionerPrimarySpecialtyBoardCertificationExpirationDate,PRIMARY BOARD EXP DATE -> groupPracticeLocationPrimaryPracticeLimitation,true
R042,residency completion date,residencyToDate|residencyFromDate,completion/end/to semantics in header,start/from/begin semantics,50,RESIDENCY COMPLETION DATE -> residencyToDate,RESIDENCY COMPLETION DATE -> residencyFromDate,true
R043,residency institution,residencySchoolName|educationSchoolName,header context aligns with residencySchoolName semantics,header context aligns with educationSchoolName semantics,50,RESIDENCY INSTITUTION -> residencySchoolName,RESIDENCY INSTITUTION -> educationSchoolName,true
R044,specialty,udfHealthPlanSpecialty|fellowshipSpecialty,header context aligns with udfHealthPlanSpecialty semantics,header context aligns with fellowshipSpecialty semantics,50,SPECIALTY -> udfHealthPlanSpecialty,SPECIALTY -> fellowshipSpecialty,true
R045,specialty board certification status,practitionerPrimarySpecialtyBoardCertified|epsdtDate,header context aligns with practitionerPrimarySpecialtyBoardCertified semantics,header context aligns with epsdtDate semantics,50,SPECIALTY BOARD CERTIFICATION STATUS -> practitionerPrimarySpecialtyBoardCertified,SPECIALTY BOARD CERTIFICATION STATUS -> epsdtDate,true
R046,tax id number,groupTin|bedCount,header context aligns with groupTin semantics,header context aligns with bedCount semantics,50,TAX ID NUMBER -> groupTin,TAX ID NUMBER -> bedCount,true
R047,billing address,groupBillingAddress1|billingGroupName,billing keyword present in header,no billing keyword; defaults to practice location,50,BILLING ADDRESS -> groupBillingAddress1,BILLING ADDRESS -> billingGroupName,true
R048,billing phone,groupBillingLocationPhone|billingGroupName,billing keyword present in header,no billing keyword; defaults to practice location,50,BILLING PHONE # -> groupBillingLocationPhone,BILLING PHONE # -> billingGroupName,true
R049,fax,groupPracticeLocationFax|credentialingContactFax,header context aligns with groupPracticeLocationFax semantics,header context aligns with credentialingContactFax semantics,50,FAX # -> groupPracticeLocationFax,FAX # -> credentialingContactFax,true
R050,print in directory,includePractitionerLocationInDirectory|includeGroupInDirectory,practitioner roster context; address/phone maps to group practice location,billing/contractee context only,50,Print in Directory -> includePractitionerLocationInDirectory,Print in Directory -> includeGroupInDirectory,true
R051,state medical  license held,stateLicenseIssuingState|providerLicenseState,header context aligns with stateLicenseIssuingState semantics,header context aligns with providerLicenseState semantics,50,State Medical  License Held -> stateLicenseIssuingState,State Medical  License Held -> providerLicenseState,true
R052,age limits,acceptingMinimumPatientAge|acceptingMaximumPatientAge,practitioner roster context; address/phone maps to group practice location,billing/contractee context only,50,AGE LIMITS -> acceptingMinimumPatientAge,AGE LIMITS -> acceptingMaximumPatientAge,true
R053,appointment status,practitionerPrimaryHospitalAffiliationStatus|groupPracticeLocationAppointmentPhone,practitioner roster context; address/phone maps to group practice location,billing/contractee context only,50,APPOINTMENT STATUS -> practitionerPrimaryHospitalAffiliationStatus,APPOINTMENT STATUS -> groupPracticeLocationAppointmentPhone,true
R054,board certification,practitionerPrimaryHospitalAffiliation|epsdtDate,header context aligns with practitionerPrimaryHospitalAffiliation semantics,header context aligns with epsdtDate semantics,50,BOARD CERTIFICATION -> practitionerPrimaryHospitalAffiliation,BOARD CERTIFICATION -> epsdtDate,true
R055,cds,practitionerControlledSubstanceNumber|ssn,header context aligns with practitionerControlledSubstanceNumber semantics,header context aligns with ssn semantics,50,CDS # -> practitionerControlledSubstanceNumber,CDS # -> ssn,true
R056,city,groupPracticeLocationCity|groupBillingCity,billing keyword present in header,no billing keyword; defaults to practice location,50,CITY -> groupPracticeLocationCity,CITY -> groupBillingCity,true
R057,date certified,initialCredentialingDate|practitionerPrimarySpecialtyBoardCertified,header context aligns with initialCredentialingDate semantics,header context aligns with practitionerPrimarySpecialtyBoardCertified semantics,50,Date Certified -> initialCredentialingDate,Date Certified -> practitionerPrimarySpecialtyBoardCertified,true
