source_pattern,forbid_target,reason,example,active
practice address location,acceptingMaximumPatientAge,The source column '10TH PRACTICE ADDRESS LOCATION' refers to the physical address where the practitioner provides services. The previous mapping to 'acceptingMaximumPatientAge' is incorrect because an,10TH PRACTICE ADDRESS LOCATION -> acceptingMaximumPatientAge,true
zip code,groupBillingLocationZipcode,"The source column 'ZIP CODE.1' represents the zip code of the group practice location. The previous mapping to 'groupBillingLocationZipcode' is incorrect because it refers to the billing zip code, not",ZIP CODE.1 -> groupBillingLocationZipcode,true
phone number,credentialingContactPhone,"The source column 'Phone Number.1' most likely refers to the phone number of the practice location. The previous guess, credentialingContactPhone, is incorrect because it refers to the phone number of",Phone Number.1 -> credentialingContactPhone,true
group name,groupPracticeName,Use legal practice name for this client,Group Name -> groupPracticeName,true
expiration date,cliaCertificateExpirationDate,The source column 'Expiration Date' most likely refers to a license or certification expiration date. The previous guess of 'cliaCertificateExpirationDate' is incorrect because it is too specific. A g,Expiration Date -> cliaCertificateExpirationDate,true
degree,educationDegree,"All Degrees will be mapped to Providertype is there are like MD, DO like that if it explcity written in full form then it can be mapped to education Degree",DEGREE -> educationDegree,true
hospital affiliation,credentialingAffiliation,We have an an hostpitalaffiliation shcema and why it got mapped to completely different schema,HOSPITAL AFFILIATION -> credentialingAffiliation,true
individual npi,facilityNpi,Invidual or like simple NPI written like that in a practitioner roster means NPI os for the practitioner not for the facility,INDIVIDUAL NPI -> facilityNpi,true
board certification,practitionerPrimarySpecialtyBoardCertificationExpirationDate,"The source column 'BOARD CERTIFICATION.1' refers to the practitioner's board certification status. The previous guess, 'practitionerPrimarySpecialtyBoardCertificationExpirationDate', is incorrect beca",BOARD CERTIFICATION.1 -> practitionerPrimarySpecialtyBoardCertificationExpirationDate,true
date certified,cliaCertificateExpirationDate,"The system guessed cliaCertificateExpirationDate, but 'Date Certified.1' is a generic date field, not specifically a CLIA certificate expiration date. The closest mapping is 'initialCredentialingDate'",Date Certified.1 -> cliaCertificateExpirationDate,true
address,billingGroupName,This is a practitioner file so Address and everything will be group related if only Billing is specified in column title only we will match the schema to billing.,ADDRESS -> billingGroupName,true
address city,billingGroupName,This is a practitioner file so Address and everything will be group related if only Billing is specified in column title only we will match the schema to billing.,ADDRESS CITY -> billingGroupName,true
address county,billingGroupName,This is a practitioner file so Address and everything will be group related if only Billing is specified in column title only we will match the schema to billing.,ADDRESS COUNTY -> billingGroupName,true
address state,billingGroupName,This is a practitioner file so Address and everything will be group related if only Billing is specified in column title only we will match the schema to billing.,ADDRESS STATE -> billingGroupName,true
address type,billingGroupName,This is a practitioner file so Address and everything will be group related if only Billing is specified in column title only we will match the schema to billing.,ADDRESS TYPE -> billingGroupName,true
address zip,billingGroupName,This is a practitioner file so Address and everything will be group related if only Billing is specified in column title only we will match the schema to billing.,ADDRESS ZIP -> billingGroupName,true
address2,groupBillingAddress2,This is a practitioner file so Address and everything will be group related if only Billing is specified in column title only we will match the schema to billing.,ADDRESS2 -> groupBillingAddress2,true
billing npi number,billingGroupName,"If NPI is inlcuded in column name it for NPI how it would be group name, and is Billing and group details are mostly same for rosters so this would fall under groupnpi",BILLING NPI NUMBER -> billingGroupName,true
dc cds,practitionerControlledSubstanceNumberExempt,There no except or exception written in title so this is Number only and data learning should have pointed to correct column,DC CDS -> practitionerControlledSubstanceNumberExempt,true
dc cds exp date,cliaCertificateExpirationDate,This is not clia ceritificate this is CDS meaning Controlled Substance so should be mapped to those column only,DC CDS EXP DATE -> cliaCertificateExpirationDate,true
dc exp date,cliaCertificateExpirationDate,This is not clia ceritificate this is CDS meaning Controlled Substance so should be mapped to those column only,DC EXP DATE -> cliaCertificateExpirationDate,true
dc license,providerLicenseState,This is meaning the Lincense number for DC state claude should think in healthcare analyst or data analyst prespecitve this should in model training also,DC LICENSE -> providerLicenseState,true
fax number,contracteeLocationFaxNumber,So in practitione file the address and all details are related to group because practitioner works under the group so group schema it should be contractee,FAX NUMBER -> contracteeLocationFaxNumber,true
fed dea dc,groupDea,This is practitioner roster so all should be related to practitioner schema and also we should learn that ok date is mentioned is it would be expiration date for DEA like that should use AI thinking,FED DEA DC -> groupDea,true
fed dea dc exp,groupDea,This is practitioner roster so all should be related to practitioner schema and also we should learn that ok date is mentioned is it would be expiration date for DEA like that should use AI thinking,FED DEA DC EXP -> groupDea,true
fed dea md,groupDea,This is practitioner roster so all should be related to practitioner schema and also we should learn that ok date is mentioned is it would be expiration date for DEA like that should use AI thinking,FED DEA MD -> groupDea,true
fed dea md exp,groupDea,This is practitioner roster so all should be related to practitioner schema and also we should learn that ok date is mentioned is it would be expiration date for DEA like that should use AI thinking,FED DEA MD EXP -> groupDea,true
fed dea va,groupDea,This is practitioner roster so all should be related to practitioner schema and also we should learn that ok date is mentioned is it would be expiration date for DEA like that should use AI thinking,FED DEA VA -> groupDea,true
fed dea va exp,groupDea,This is practitioner roster so all should be related to practitioner schema and also we should learn that ok date is mentioned is it would be expiration date for DEA like that should use AI thinking,FED DEA VA EXP -> groupDea,true
fellowship completion date,fellowshipFromDate,Fromdate is start and Todate is end date,FELLOWSHIP COMPLETION DATE -> fellowshipFromDate,true
fellowship institution,educationSchoolName,we have specific schema for fellowship why use educationschoolname,FELLOWSHIP INSTITUTION -> educationSchoolName,true
first name,credentialingContactFirstName,This is very important unless it explicity say credentail or credentailing first name this should be mapped to first name only,FIRST NAME -> credentialingContactFirstName,true
graduation date,cliaCertificateExpirationDate,Completely wrong mapping earn the column name like understand the column name meaning and data,GRADUATION DATE -> cliaCertificateExpirationDate,true
internship completion date,internshipFromDate,To is end date and from is start date,INTERNSHIP COMPLETION DATE -> internshipFromDate,true
internship institution,educationSchoolName,we have internship schema,INTERNSHIP INSTITUTION -> educationSchoolName,true
last name,credentialingContactLastName,This is very important unless it explicity say credentail or credentailing last name this should be mapped to last name only,LAST NAME -> credentialingContactLastName,true
malpractice insurance carrier,practitionerMalpracticeAggregateCoverageAmount,Wrong classification should learn the column names and classify correctly,Malpractice Insurance Carrier -> practitionerMalpracticeAggregateCoverageAmount,true
malpractice insurance expiration,practitionerMalpracticeAggregateCoverageAmount,Wrong classification should learn the column names and classify correctly,Malpractice Insurance Expiration -> practitionerMalpracticeAggregateCoverageAmount,true
md cds,practitionerControlledSubstanceNumberExempt,There is no excepmt written in column name why choose that,MD CDS -> practitionerControlledSubstanceNumberExempt,true
md cds exp date,cliaCertificateExpirationDate,This is not clia ceritificate this is CDS meaning Controlled Substance so should be mapped to those column only,MD CDS EXP DATE -> cliaCertificateExpirationDate,true
md exp date,cliaCertificateExpirationDate,CLIA not written this is state licnece should mapped accordinly ly,MD EXP DATE -> cliaCertificateExpirationDate,true
md license,providerLicenseState,this is state license in column name we can see state and lincese written so state lincesenumber,MD LICENSE -> providerLicenseState,true
medical graduate professional school,title,This is obviously schoolname schema why mapped to title,MEDICAL GRADUATE PROFESSIONAL SCHOOL -> title,true
pcp accepting patients (yes or no),acceptingMaximumPatientAge,there is no age anywhere written this should acceptsnewpatiens like in column title also its witten,PCP ACCEPTING PATIENTS (YES or NO) -> acceptingMaximumPatientAge,true
pcp status,contractStatus,PCP status all should be under practitioner Role,PCP STATUS -> contractStatus,true
phone,contracteeLocationFaxNumber,This is practitioner roster so address and related would be related to group not contractee,PHONE -> contracteeLocationFaxNumber,true
primary board,groupPracticeLocationPrimaryPracticeLimitation,This is practitioner roster so should be mapped to practitioner and correctly where is limitation written in column header,PRIMARY BOARD -> groupPracticeLocationPrimaryPracticeLimitation,true
primary board date cert,groupPracticeLocationPrimaryPracticeLimitation,This is practitioner roster so should be mapped to practitioner and correctly where is limitation written in column header,PRIMARY BOARD DATE CERT -> groupPracticeLocationPrimaryPracticeLimitation,true
primary board exp date,groupPracticeLocationPrimaryPracticeLimitation,This is practitioner roster so should be mapped to practitioner and correctly where is limitation written in column header,PRIMARY BOARD EXP DATE -> groupPracticeLocationPrimaryPracticeLimitation,true
residency completion date,residencyFromDate,To is end date and from is start date,RESIDENCY COMPLETION DATE -> residencyFromDate,true
residency institution,educationSchoolName,we have residency schema it should be mapped to that only,RESIDENCY INSTITUTION -> educationSchoolName,true
specialty,fellowshipSpecialty,So this is speciality we cannot ingest so UDF created because this doesn't match NUCC data correctly,SPECIALTY -> fellowshipSpecialty,true
specialty board certification status,epsdtDate,this is not epsdt should be learned from column name header and mapped correctly,SPECIALTY BOARD CERTIFICATION STATUS -> epsdtDate,true
tax id number,bedCount,Tax ID is tax identification Number basic Healthcare actonym why AI is not even understanding that and TAX ID or tin belongs to grouptin,TAX ID NUMBER -> bedCount,true
taxonomy,groupSpecialtyTaxonomy,Practitioner Roster so should be assinged to practitioner and would be primary Taxonomy as this is only column taxonomy in the file,TAXONOMY -> groupSpecialtyTaxonomy,true
va exp date,cliaCertificateExpirationDate,no clia written so it would be state lincense,VA EXP DATE -> cliaCertificateExpirationDate,true
va license,providerLicenseState,This is state licnese number,VA LICENSE -> providerLicenseState,true
fax #,credentialingContactFax,"The source column 'FAX #' represents a fax number. The previous guess of 'credentialingContactFax' is incorrect because it implies the fax number belongs to a credentialing contact, whereas 'FAX #' mo",FAX # -> credentialingContactFax,true
phone #,credentialingContactPhone,"The source column 'PHONE #' most likely refers to the phone number of the practice location. The previous guess, credentialingContactPhone, is incorrect because it refers to the phone number of the cr",PHONE # -> credentialingContactPhone,true
practice location address,acceptingMaximumPatientAge,The source column '2nd PRACTICE LOCATION ADDRESS' refers to the physical address where the practitioner provides services. The previous mapping to 'acceptingMaximumPatientAge' is incorrect because an ,2nd PRACTICE LOCATION ADDRESS -> acceptingMaximumPatientAge,true
age limits,acceptingMaximumPatientAge,"The source column 'AGE LIMITS' refers to the minimum age of patients accepted by a practitioner or group. The previous guess, 'acceptingMaximumPatientAge', is close but not quite right. The correct sc",AGE LIMITS -> acceptingMaximumPatientAge,true
appointment status,groupPracticeLocationAppointmentPhone,"The source column 'APPOINTMENT STATUS' refers to the status of a practitioner's appointment or affiliation with a hospital or group. The previous guess, 'groupPracticeLocationAppointmentPhone', is inc",APPOINTMENT STATUS -> groupPracticeLocationAppointmentPhone,true
appt date,cliaCertificateExpirationDate,"The source column 'Appt Date' most likely refers to the initial appointment date for credentialing a provider. The previous guess, 'cliaCertificateExpirationDate', is incorrect because it relates to l",Appt Date -> cliaCertificateExpirationDate,true
billing address,billingGroupName,"The source column 'BILLING ADDRESS' refers to the address used for billing purposes for a group or practice. The previous guess, 'billingGroupName', is incorrect because it refers to the name of the b",BILLING ADDRESS -> billingGroupName,true
billing phone #,billingGroupName,"The source column 'BILLING PHONE #' refers to the phone number used for billing purposes for a group or practice. The previous guess, 'billingGroupName', is incorrect because it refers to the name of ",BILLING PHONE # -> billingGroupName,true
board certification,epsdtDate,"The source column 'BOARD CERTIFICATION' refers to the practitioner's board certification status. The previous guess, 'epsdtDate', is incorrect because it relates to the Early and Periodic Screening, D",BOARD CERTIFICATION -> epsdtDate,true
cds #,ssn,"The source column 'CDS #' refers to the practitioner's Controlled Dangerous Substance (CDS) number. The previous guess, 'ssn', is incorrect because it refers to the Social Security Number, a sensitive",CDS # -> ssn,true
